File Name,Format,Duration,Sample Rate,Codec,Channels
"audio_196.wav","wav","8.4","N/A","N/A","N/A"
"audio_197.wav","wav","5.58","N/A","N/A","N/A"
"audio_198.wav","wav","1.62","N/A","N/A","N/A"
"audio_199.wav","wav","2.410688","N/A","N/A","N/A"
"audio_2.wav","wav","3.6","N/A","N/A","N/A"
"audio_20.wav","wav","3.52","N/A","N/A","N/A"
"audio_200.wav","wav","4.26","N/A","N/A","N/A"
"audio_201.wav","wav","3.24","N/A","N/A","N/A"
"audio_202.wav","wav","3.562688","N/A","N/A","N/A"
"audio_203.wav","wav","5.4","N/A","N/A","N/A"
"audio_204.wav","wav","4.44","N/A","N/A","N/A"
"audio_205.wav","wav","3","N/A","N/A","N/A"
"audio_206.wav","wav","2.794688","N/A","N/A","N/A"
"audio_207.wav","wav","2.22","N/A","N/A","N/A"
"audio_208.wav","wav","3.9","N/A","N/A","N/A"
"audio_209.wav","wav","1.62","N/A","N/A","N/A"
"audio_21.wav","wav","1.8","N/A","N/A","N/A"
"audio_210.wav","wav","1.5","N/A","N/A","N/A"
"audio_211.wav","wav","4.14","N/A","N/A","N/A"
"audio_212.wav","wav","5.28","N/A","N/A","N/A"
"audio_213.wav","wav","2.64","N/A","N/A","N/A"
"audio_214.wav","wav","6.336","N/A","N/A","N/A"
"audio_215.wav","wav","4.138688","N/A","N/A","N/A"
"audio_216.wav","wav","8.34","N/A","N/A","N/A"
"audio_217.wav","wav","4.08","N/A","N/A","N/A"
"audio_218.wav","wav","3.18","N/A","N/A","N/A"
"audio_219.wav","wav","5.34","N/A","N/A","N/A"
"audio_22.wav","wav","2.94","N/A","N/A","N/A"
"audio_220.wav","wav","1.706688","N/A","N/A","N/A"
"audio_221.wav","wav","3.242688","N/A","N/A","N/A"
"audio_222.wav","wav","2.76","N/A","N/A","N/A"
"audio_223.wav","wav","5.1","N/A","N/A","N/A"
"audio_224.wav","wav","4.458688","N/A","N/A","N/A"
"audio_225.wav","wav","5.04","N/A","N/A","N/A"
"audio_226.wav","wav","3.66","N/A","N/A","N/A"
